Date,year,MonthName,MonthNo,Day,DayName,DayNo
2019-07-13 00:00:00,2019,July,7,13,Saturday,7
2019-07-20 00:00:00,2019,July,7,20,Saturday,7
2019-07-27 00:00:00,2019,July,7,27,Saturday,7
2017-06-03 00:00:00,2017,June,6,3,Saturday,7
2017-06-10 00:00:00,2017,June,6,10,Saturday,7
2017-06-17 00:00:00,2017,June,6,17,Saturday,7
2017-06-24 00:00:00,2017,June,6,24,Saturday,7
2018-06-02 00:00:00,2018,June,6,2,Saturday,7
2018-06-09 00:00:00,2018,June,6,9,Saturday,7
2018-06-16 00:00:00,2018,June,6,16,Saturday,7
2018-06-23 00:00:00,2018,June,6,23,Saturday,7
2018-06-30 00:00:00,2018,June,6,30,Saturday,7
2019-06-01 00:00:00,2019,June,6,1,Saturday,7
2019-06-08 00:00:00,2019,June,6,8,Saturday,7
2019-06-15 00:00:00,2019,June,6,15,Saturday,7
2019-06-22 00:00:00,2019,June,6,22,Saturday,7
2019-06-29 00:00:00,2019,June,6,29,Saturday,7
2017-03-04 00:00:00,2017,March,3,4,Saturday,7
2017-03-11 00:00:00,2017,March,3,11,Saturday,7
2017-03-18 00:00:00,2017,March,3,18,Saturday,7
2017-03-25 00:00:00,2017,March,3,25,Saturday,7
2018-03-03 00:00:00,2018,March,3,3,Saturday,7
2018-03-10 00:00:00,2018,March,3,10,Saturday,7
2018-03-17 00:00:00,2018,March,3,17,Saturday,7
2018-03-24 00:00:00,2018,March,3,24,Saturday,7
2018-03-31 00:00:00,2018,March,3,31,Saturday,7
2019-03-02 00:00:00,2019,March,3,2,Saturday,7
2019-03-09 00:00:00,2019,March,3,9,Saturday,7
2019-03-16 00:00:00,2019,March,3,16,Saturday,7
2019-03-23 00:00:00,2019,March,3,23,Saturday,7
2019-03-30 00:00:00,2019,March,3,30,Saturday,7
2017-05-06 00:00:00,2017,May,5,6,Saturday,7
2017-05-13 00:00:00,2017,May,5,13,Saturday,7
2017-05-20 00:00:00,2017,May,5,20,Saturday,7
2017-05-27 00:00:00,2017,May,5,27,Saturday,7
2018-05-05 00:00:00,2018,May,5,5,Saturday,7
2018-05-12 00:00:00,2018,May,5,12,Saturday,7
2018-05-19 00:00:00,2018,May,5,19,Saturday,7
2018-05-26 00:00:00,2018,May,5,26,Saturday,7
2019-05-04 00:00:00,2019,May,5,4,Saturday,7
2019-05-11 00:00:00,2019,May,5,11,Saturday,7
2019-05-18 00:00:00,2019,May,5,18,Saturday,7
2019-05-25 00:00:00,2019,May,5,25,Saturday,7
2017-11-04 00:00:00,2017,November,11,4,Saturday,7
2017-11-11 00:00:00,2017,November,11,11,Saturday,7
2017-11-18 00:00:00,2017,November,11,18,Saturday,7
2017-11-25 00:00:00,2017,November,11,25,Saturday,7
2018-11-03 00:00:00,2018,November,11,3,Saturday,7
2018-11-10 00:00:00,2018,November,11,10,Saturday,7
2018-11-17 00:00:00,2018,November,11,17,Saturday,7
2018-11-24 00:00:00,2018,November,11,24,Saturday,7
2019-11-02 00:00:00,2019,November,11,2,Saturday,7
2019-11-09 00:00:00,2019,November,11,9,Saturday,7
2019-11-16 00:00:00,2019,November,11,16,Saturday,7
2019-11-23 00:00:00,2019,November,11,23,Saturday,7
2019-11-30 00:00:00,2019,November,11,30,Saturday,7
2017-10-07 00:00:00,2017,October,10,7,Saturday,7
2017-10-14 00:00:00,2017,October,10,14,Saturday,7
2017-10-21 00:00:00,2017,October,10,21,Saturday,7
2017-10-28 00:00:00,2017,October,10,28,Saturday,7
2018-10-06 00:00:00,2018,October,10,6,Saturday,7
2018-10-13 00:00:00,2018,October,10,13,Saturday,7
2018-10-20 00:00:00,2018,October,10,20,Saturday,7
2018-10-27 00:00:00,2018,October,10,27,Saturday,7
2019-10-05 00:00:00,2019,October,10,5,Saturday,7
2019-10-12 00:00:00,2019,October,10,12,Saturday,7
2019-10-19 00:00:00,2019,October,10,19,Saturday,7
2019-10-26 00:00:00,2019,October,10,26,Saturday,7
2017-09-02 00:00:00,2017,September,9,2,Saturday,7
2017-09-09 00:00:00,2017,September,9,9,Saturday,7
2017-09-16 00:00:00,2017,September,9,16,Saturday,7
2017-09-23 00:00:00,2017,September,9,23,Saturday,7
2017-09-30 00:00:00,2017,September,9,30,Saturday,7
2018-09-01 00:00:00,2018,September,9,1,Saturday,7
2018-09-08 00:00:00,2018,September,9,8,Saturday,7
2018-09-15 00:00:00,2018,September,9,15,Saturday,7
2018-09-22 00:00:00,2018,September,9,22,Saturday,7
2018-09-29 00:00:00,2018,September,9,29,Saturday,7
2019-09-07 00:00:00,2019,September,9,7,Saturday,7
2019-09-14 00:00:00,2019,September,9,14,Saturday,7
2019-09-21 00:00:00,2019,September,9,21,Saturday,7
2019-09-28 00:00:00,2019,September,9,28,Saturday,7
2017-04-02 00:00:00,2017,April,4,2,Sunday,1
2017-04-09 00:00:00,2017,April,4,9,Sunday,1
2017-04-16 00:00:00,2017,April,4,16,Sunday,1
2017-04-23 00:00:00,2017,April,4,23,Sunday,1
2017-04-30 00:00:00,2017,April,4,30,Sunday,1
2018-04-01 00:00:00,2018,April,4,1,Sunday,1
2018-04-08 00:00:00,2018,April,4,8,Sunday,1
2018-04-15 00:00:00,2018,April,4,15,Sunday,1
2018-04-22 00:00:00,2018,April,4,22,Sunday,1
2018-04-29 00:00:00,2018,April,4,29,Sunday,1
2019-04-07 00:00:00,2019,April,4,7,Sunday,1
2019-04-14 00:00:00,2019,April,4,14,Sunday,1
2019-04-21 00:00:00,2019,April,4,21,Sunday,1
2019-04-28 00:00:00,2019,April,4,28,Sunday,1
2017-08-06 00:00:00,2017,August,8,6,Sunday,1
2017-08-13 00:00:00,2017,August,8,13,Sunday,1
2017-08-20 00:00:00,2017,August,8,20,Sunday,1
2017-08-27 00:00:00,2017,August,8,27,Sunday,1
